Id,preco
0,1374239.5591900854
1,251851.48316859617
2,561741.9492902816
3,260309.7894747192
4,375541.6275548768
5,276218.78437009506
6,676134.0932667371
7,364631.6513533878
8,332399.71501470584
9,768714.7176788124
10,641537.4028371049
11,519236.24141867086
12,1003590.3978030604
13,341179.36233885103
14,774473.3944514066
15,596070.3126300977
16,388297.34775319067
17,361090.9250367757
18,345098.4201140942
19,886200.8057326131
20,815077.7023727137
21,314547.0730034817
22,337735.29576368583
23,329948.9326950563
24,319978.7778213381
25,367505.92121190345
26,536182.2474505168
27,558680.5552345348
28,715638.7229250303
29,895441.9769406262
30,356218.98307399004
31,1353850.9059842618
32,1149824.3510117799
33,1421056.0582527246
34,1157457.90411305
35,364566.38759169925
36,485952.96365781716
37,1399218.4172601905
38,419986.7921699092
39,389474.95544127736
40,1360682.698096386
41,761598.7087949669
42,365864.39836695977
43,1307893.9127206933
44,849999.4874265881
45,228516.14223842806
46,1058224.6115737183
47,550937.921780808
48,256014.52065721355
49,437957.2951193269
50,482134.77813692554
51,360217.1350210729
52,663828.8861682886
53,812965.5029097693
54,877355.0012098534
55,374686.6806513538
56,604965.5822466395
57,384380.67265400395
58,835687.7349199608
59,1287281.8480738571
60,1354869.3388573457
61,610972.1175932098
62,1238929.9646223676
63,1327118.2844121242
64,407926.80906589073
65,440662.8070032858
66,559559.3133120408
67,1188391.2633856665
68,835772.7140219416
69,361604.8931272536
70,1199994.758347824
71,230342.01406097022
72,556851.3803433065
73,409965.38087038824
74,256953.31118602672
75,1324297.5864910567
76,309809.17363316164
77,388547.30243388173
78,225961.3543144561
79,380507.8562150845
80,538967.4388735286
81,411937.25167840486
82,328208.4549465721
83,1305215.9694780742
84,1414287.9904553771
85,377357.299128327
86,398526.9194543412
87,550611.6994663803
88,536182.2474505168
89,360451.148073191
90,656106.9691299355
91,744548.0657712435
92,232486.88643128477
93,306085.44886074093
94,207358.1894313579
95,726809.8162337063
96,871418.611553727
97,1207395.115628815
98,378250.81904504274
99,617036.2023219537
100,551480.3018837001
101,391968.43887562415
102,1279402.138201992
103,891239.6153690179
104,432567.0100439701
105,795633.324142996
106,800233.38396912
107,1043106.606271652
108,337027.62207067787
109,590676.2367459736
110,461941.05240532564
111,799909.8388817561
112,286474.06487270707
113,391280.2919119456
114,763567.4183918348
115,379579.85112659505
116,550148.3777677119
117,1374886.750263338
118,816517.2710842454
119,330773.23930979084
120,1290736.0262325304
121,310409.01104286534
122,596668.6206365079
123,297625.223309918
124,298505.79446851416
125,712665.1533110468
126,346353.94947244675
127,1284935.2177559547
128,326058.2937676312
129,1217477.3049530906
130,965343.7269751403
131,1302600.7274374776
132,543366.0530407574
133,1035240.5153489285
134,1285796.8922371
135,524131.3623310845
136,512262.68517636805
137,933936.5797238253
138,790530.948845426
139,414924.51365098223
140,1409443.8742846774
141,414176.15618864185
142,448647.3096847561
143,1296415.6911275005
144,345226.666655898
145,457488.6437939867
146,269379.99080278527
147,1410635.8188650757
148,557263.8361034362
149,997486.5404698622
150,465090.04223294463
151,576170.0936928117
152,856831.0672708647
153,800278.2247961868
154,472798.1990339588
155,567645.8233795356
156,497385.01583325956
157,396759.5680325016
158,583425.6345843776
159,1305176.9929515976
160,1347113.0363161175
161,499659.83399443293
162,1107086.002485758
163,485033.1771147137
164,337110.97529472347
165,352047.27639148105
166,596678.1588071451
167,605579.1508610635
168,379119.987987504
169,1128533.8870904618
170,619922.0858716306
171,441192.44102489395
172,636264.2108385448
173,680881.1804231538
174,553714.1004192192
175,1346416.808938188
176,663537.0437328615
177,373832.9921469658
178,1130334.6621401415
179,275686.8507603052
180,826919.0303717012
181,391289.6721594272
182,1402238.1943832345
183,613121.7078096257
184,747002.1891338612
185,431997.81108918035
186,534393.4919022958
187,497524.2814559319
188,1188037.7213372234
189,340394.82345099427
190,1304386.5209396768
191,1147687.402783557
192,276591.6571749948
193,360945.2118645994
194,292074.07331226754
195,697945.9452930234
196,265359.78747988143
197,1220039.9541284407
198,307747.8493556599
199,540389.73837832
200,1015497.734012046
201,282250.29215687484
202,650905.0407685526
203,1239446.417585662
204,717068.2848949843
205,245808.93047307595
206,187279.26412360044
207,379807.6385601407
208,1143919.2358415856
209,1261691.234148759
210,760427.1117366012
211,1355815.9006265725
212,495509.0968062597
213,586478.3224359567
214,1068572.5441281304
215,359202.1610061147
216,288612.79072119464
217,571832.1022085682
218,507726.76098163263
219,331540.85046220256
220,554584.0991386155
221,880610.7398610264
222,1103030.3606076038
223,303855.29147734505
224,334286.07623849565
225,596488.9189479903
226,365422.55231396534
227,639278.3666026733
228,1392281.480553287
229,529621.8524781151
230,378873.46276876866
231,474232.2854914041
232,350520.05407131993
233,658336.296852873
234,559369.392843367
235,293451.2381383036
236,957589.6279163263
237,1164234.3244059223
238,1127424.4422896358
239,535647.5238440251
240,811829.1129748067
241,273904.0988133511
242,556251.3818328738
243,429653.52311158174
